coord1,coord2,Total,Robbery,Weapons Offense,Homicide,Kidnapping,100 Block Address,rank,ptile
35.033,-90.021,111,58,33,16,4,1300 Wesley Dr,1.0,4.8351223285949136e-05
35.084,-89.949,95,89,3,2,1,1800 Morlye,2.0,9.670244657189827e-05
35.062,-89.886,82,62,17,1,2,KNIGHT ARNOLD//MENDENHALL,3.0,0.0001450536698578474
35.054,-90.007,82,50,28,1,3,1800 Wincester,4.0,0.00019340489314379654
35.11,-90.022,82,47,31,0,4,Bellevue//Agnes,5.0,0.00024175611642974568
35.07,-89.906,81,59,16,1,5,3000 S PERKINS,6.0,0.0002901073397156948
35.095,-89.97,79,49,29,0,1,Pendlton//Lamar,7.0,0.0003384585630016439
35.033,-90.017,77,32,36,7,2,4300 EASTWIND,8.0,0.0003868097862875931
35.17,-89.976,77,45,26,4,2,1300 N Hollywood,9.0,0.0004351610095735422
35.204,-89.977,76,28,44,4,0,Woodcliff//Shady Vista,10.0,0.00048351223285949136
35.052,-89.91,75,53,21,0,1,4700 Forest Oak WAY,11.0,0.0005318634561454405
35.052,-89.926,75,50,21,0,4,Lamar And Emmie,12.0,0.0005802146794313896
35.052,-89.922,75,45,27,0,3,GOODLETT//WINGOOD CIR,13.0,0.0006285659027173388
35.144,-90.016,73,63,7,0,3,Poplar//Cleveland,14.0,0.0006769171260032879
35.021,-90.043,70,39,27,2,2,700 E Shelby,15.0,0.000725268349289237
35.082,-89.986,69,53,11,1,4,2300 Candlewyck CIR,16.0,0.0007736195725751862
35.205,-89.922,68,37,29,0,2,Yale//Austin Peay Hwy,17.0,0.0008219707958611352
35.051,-90.007,66,22,38,4,2,Commonwealth//Millbranch,18.0,0.0008703220191470844
35.115,-89.991,66,50,14,0,2,Third//S Parkway,19.0,0.0009186732424330336
35.051,-89.902,65,42,21,0,2,BOXDALE//WINCHESTER,20.0,0.0009670244657189827
35.072,-89.863,65,38,25,0,2,Mt Moriah//Ridgeway,21.0,0.0010153756890049319
35.035,-90.007,64,32,27,3,2,4200 Millbranch,22.0,0.001063726912290881
35.158,-89.976,64,46,17,0,1,2500 Jackson,23.0,0.00111207813557683
35.006,-90.008,63,45,15,1,2,1700 Holmes,24.0,0.0011604293588627793
35.157,-90.033,62,43,15,3,1,Jackson//Manassas,25.0,0.0012087805821487283
35.084,-89.948,62,59,2,1,0,3500 Barclay,26.0,0.0012571318054346776
35.107,-90.021,62,45,12,1,4,1500 S BELLEVUE,27.0,0.0013054830287206266
35.109,-89.982,61,34,24,2,1,2400 Park,28.0,0.0013538342520065757
35.079,-89.985,59,42,12,1,4,Airways//Ketchum,29.0,0.001402185475292525
35.076,-89.932,59,40,16,1,2,2700 GETWELL,30.0,0.001450536698578474
35.059,-89.863,56,42,11,1,2,6100 EAST POINT DR,31.0,0.001498887921864423
35.108,-90.062,54,37,15,2,0,100 S Parkway,32.0,0.0015472391451503724
35.051,-89.924,54,42,7,1,4,4200 Winchester,33.0,0.0015955903684363214
35.06,-89.866,54,31,20,1,2,3300 Hickory HL,34.0,0.0016439415917222705
35.061,-89.866,54,22,29,1,2,3300 HICKORY HILL RD,35.0,0.0016922928150082197
35.146,-90.035,53,47,3,1,2,Poplar//Manassas,36.0,0.0017406440382941688
35.175,-89.975,53,32,20,0,1,2500 Chelsea,37.0,0.001788995261580118
35.1,-90.017,53,15,36,0,2,1400 E PERSON,38.0,0.0018373464848660671
35.162,-89.939,52,40,7,4,1,1100 Homer,39.0,0.0018856977081520162
35.052,-89.912,52,46,5,1,0,3600 Willow Creek,40.0,0.0019340489314379654
35.139,-90.016,52,42,8,1,1,1400 Madison,41.0,0.0019824001547239147
35.162,-89.947,52,34,16,1,1,1100 National Ave,42.0,0.0020307513780098638
35.053,-90.007,52,30,19,1,2,1800 Winchester,43.0,0.002079102601295813
35.032,-90.017,52,24,26,1,1,4300 E Wind,44.0,0.002127453824581762
35.211,-90.026,52,6,45,1,0,3200 Madewell,45.0,0.002175805047867711
35.076,-89.95,51,22,24,3,2,3500 AMERICAN WAY,46.0,0.00222415627115366
35.142,-90.018,51,36,13,1,1,Jefferson//Claybrook,47.0,0.0022725074944396095
35.224,-90.016,51,9,40,1,1,1500 Briarcrest LN,48.0,0.0023208587177255585
35.137,-90.019,50,33,7,4,6,1300 Union,49.0,0.0023692099410115076
35.088,-89.931,50,39,8,1,2,1700 Getwell,50.0,0.0024175611642974566
35.052,-89.951,50,44,6,0,0,3400 WINCHESTER,51.0,0.0024659123875834057
35.074,-89.906,50,34,16,0,0,2800 S PERKINS,52.0,0.002514263610869355
35.031,-90.016,49,13,31,5,0,4400 GRACELAND DR,53.0,0.0025626148341553042
35.034,-90.017,49,32,14,2,1,4200 Eastwind,54.0,0.0026109660574412533
35.06,-89.857,49,21,23,2,3,KNIGHT ARNOLD//RIDGEWAY,55.0,0.0026593172807272024
35.079,-89.984,49,39,9,1,0,2500 Ketchum,56.0,0.0027076685040131514
35.087,-89.931,49,37,8,1,3,1700 GETWELL,57.0,0.0027560197272991005
35.059,-89.864,49,25,23,1,0,3300 Cosmic Circle,58.0,0.00280437095058505
35.115,-90.022,49,43,6,0,0,Bellevue//Mclemore,59.0,0.002852722173870999
35.183,-89.871,49,36,13,0,0,Sycamore View//Raleigh Lagrange,60.0,0.002901073397156948
35.086,-89.962,49,32,15,0,2,Lamar Ave//Semmes Ave,61.0,0.002949424620442897
35.082,-89.889,48,31,15,2,0,2500 MT MORIAH RD,62.0,0.002997775843728846
35.175,-90.036,47,17,27,2,1,1300 N Thomas,63.0,0.0030461270670147957
35.137,-90.028,47,30,10,1,6,300 South Pauline,64.0,0.0030944782903007447
35.061,-90.014,47,41,4,0,2,1600 E BROOKS,65.0,0.0031428295135866938
35.05,-89.844,47,19,23,0,5,Winchester//Kirby Parkway,66.0,0.003191180736872643
35.163,-89.86,47,16,30,0,1,Sycamore View//Macon,67.0,0.003239531960158592
35.157,-89.943,47,8,38,0,1,1000 N HIGHLAND,68.0,0.003287883183444541
35.204,-89.922,46,22,19,2,3,2900 Old Austin Peay Hwy,69.0,0.0033362344067304904
35.14,-90.054,46,16,27,2,1,Second//Beale,70.0,0.0033845856300164395
35.14,-90.052,46,28,15,1,2,Third//Beale,71.0,0.0034329368533023885
35.079,-89.981,45,39,4,1,1,2500 KETCHUM,72.0,0.0034812880765883376
35.051,-89.886,45,29,14,1,1,Winchester//Mendenhall,73.0,0.0035296392998742866
35.145,-90.015,45,39,3,0,3,1400 Poplar,74.0,0.003577990523160236
35.108,-89.966,44,21,19,3,1,2900 Park,75.0,0.003626341746446185
35.082,-90.018,44,31,7,2,4,2300 Elvis Presley,76.0,0.0036746929697321342
35.021,-90.008,44,27,13,2,2,Shelby Near Millbranch,77.0,0.0037230441930180833
35.06,-89.86,44,13,29,2,0,6100 Knight Arnold,78.0,0.0037713954163040323
35.116,-89.946,44,35,7,0,2,600 S Higland,79.0,0.003819746639589982
35.197,-90.008,43,33,9,1,0,2700 Watkins,80.0,0.003868097862875931
35.162,-89.91,43,36,6,0,1,4600 Macon,81.0,0.0039164490861618795
35.105,-89.985,43,32,11,0,0,2400 Lamar,82.0,0.0039648003094478294
35.227,-90.003,42,27,10,3,2,3800 N WATKINS,83.0,0.0040131515327337785
35.059,-89.933,42,26,12,3,1,3300 WHITEBROOK PLZ,84.0,0.0040615027560197275
35.124,-90.047,42,29,10,2,1,500 E H Crump,85.0,0.004109853979305677
35.078,-90.019,42,34,8,0,0,Elvis Presley//Alcy,86.0,0.004158205202591626
35.042,-90.026,42,33,9,0,0,4000 ELVIS PRESLEY BL,87.0,0.004206556425877575
35.016,-90.026,42,16,26,0,0,4900 ELVIS PRESLEY,88.0,0.004254907649163524
35.143,-90.032,41,22,9,9,1,900 Jefferson,89.0,0.004303258872449473
35.021,-90.049,41,27,10,3,1,4700 Hodge,90.0,0.004351610095735422
35.108,-89.985,41,24,13,2,2,2400 PARK,91.0,0.004399961319021371
35.071,-89.908,41,35,5,1,0,4700 Cotton LN,92.0,0.00444831254230732
35.052,-89.921,41,29,10,1,1,4300 WINCHESTER RD,93.0,0.00449666376559327
35.211,-89.923,41,28,10,1,2,Raleigh - Millington//Jones,94.0,0.004545014988879219
35.174,-89.975,41,32,9,0,0,Chelsea//Hollywood,95.0,0.004593366212165168
35.08,-89.984,41,32,7,0,2,2400 Airways,96.0,0.004641717435451117
35.199,-90.008,41,27,14,0,0,Watkins//Delano,97.0,0.004690068658737066
35.108,-89.97,41,27,10,0,4,900 Pendleton,98.0,0.004738419882023015
35.051,-90.005,41,19,19,0,3,1800 Commonwealth Dr,99.0,0.004786771105308964
35.24,-89.931,41,11,30,0,0,4000 Voltaire,100.0,0.004835122328594913
